"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in"
"58","AO3","Non-Frozen","Storm","2021-23","9/14/2021 8:45","9/14/2021 10:30",122.2,0.08048,0.22,1.083,0.2031,0.72,0.48,0.3,0.19,0,0,0.37,0.51,22.4,975744,0.00150285320739866
"59","AO3","Non-Frozen","Storm","2021-24","9/21/2021 1:55","9/21/2021 5:15",14520,6.473,1.01,3.283,0.3076,3,2.52,1.6,0.92,0,0,0.22,0.59,22.4,975744,0.178571428571429
"60","AO3","Non-Frozen","Storm","2021-25","9/24/2021 23:53","9/25/2021 2:45",209,0.0553,0.39,3.1,0.1258,0.36,0.3,0.26,0.21,0,0,1.01,1.23,22.4,975744,0.00257034632034632
"61","AO3","Non-Frozen","Storm","2022-1","10/3/2021 22:04","10/3/2021 23:15",316.4,0.2405,0.29,1.133,0.2559,1.68,0.96,0.54,0.28,0.01,0.29,0.29,1.69,22.4,975744,0.00389118457300276
"62","AO3","Non-Frozen","Storm","2022-2","10/12/2021 6:49","10/12/2021 9:30",266.1,0.1024,0.59,6.917,0.0853,0.72,0.72,0.54,0.36,0.02,0.05,0.06,0.65,22.4,975744,0.00327257969303424
"63","AO3","Non-Frozen","Storm","2022-3","11/11/2021 16:30","11/11/2021 19:15",124.3,0.0273,0.48,3.5,0.1371,0.36,0.3,0.22,0.19,0.29,0.29,0.29,0.34,22.4,975744,0.00152867965367965
"64","AO3","Frozen","Storm","2022-4","12/16/2021 4:56","12/16/2021 20:52",6319,0.3702,0.51,3.15,0.1619,2.4,1.32,0.54,0.47,0.05,0.05,0.05,0.05,22.4,975744,0.0777130066902794
"65","AO3","Frozen","Storm","2022-5","3/8/2022 22:15","3/9/2022 5:45",322.7,0.0166,0,NA,NA,NA,NA,NA,NA,0,0,0.7,0.7,22.4,975744,0.00396866391184573
"66","AO3","Frozen","Storm","2022-6","3/17/2022 8:15","3/26/2022 13:08",136900,1.354,1.36,106,0.01284,0.6,0.6,0.48,0.36,0,0,0,0,22.4,975744,1.6836383313656
"67","AO3","Frozen","Storm","2022-7","3/31/2022 1:00","4/12/2022 3:09",209400,2.911,0.88,131.3,0.006702,0.36,0.18,0.16,0.13,0,0,0.4,1.76,22.4,975744,2.57526564344746
"68","AO3","Frozen","Storm","2022-8","4/12/2022 15:00","4/14/2022 5:41",34390,4.719,0.88,29.45,0.02988,1.8,1.2,0.68,0.39,0,0,0.72,1.28,22.4,975744,0.422938803620622
"69","AO3","Frozen","Storm","2022-9","4/15/2022 21:00","4/16/2022 4:15",474.1,0.0862,0,NA,NA,NA,NA,NA,NA,0.03,0.27,0.96,1.84,22.4,975744,0.00583062770562771
"70","AO3","Non-Frozen","Storm","2022-10","4/19/2022 18:15","4/19/2022 22:45",492.6,0.1306,0,NA,NA,NA,NA,NA,NA,0.1,0.12,1.08,1.8,22.4,975744,0.00605814639905549
"71","AO3","Non-Frozen","Storm","2022-11","4/20/2022 23:06","4/21/2022 10:30",10880,1.602,0.42,5.817,0.07221,0.48,0.36,0.24,0.18,0,0,0.33,1.25,22.4,975744,0.133805588351043
"72","AO3","Non-Frozen","Storm","2022-12","4/24/2022 6:30","4/24/2022 7:46",219.3,0.1017,0.14,1.3,0.1077,0.96,0.6,0.26,0.13,0.02,0.04,0.58,1.54,22.4,975744,0.00269701889020071
"73","AO3","Non-Frozen","Storm","2022-13","4/30/2022 19:30","5/1/2022 4:05",2623,0.6086,1.06,8.317,0.1275,1.2,1.02,0.68,0.43,0.01,0.01,0.2,0.77,22.4,975744,0.032258461235734
"74","AO3","Non-Frozen","Storm","2022-14","5/12/2022 8:08","5/13/2022 1:00",2924,1.36,1.14,17.6,0.06477,2.4,1.74,0.7,0.43,0,0.02,0.02,1.3,22.4,975744,0.0359602518693428
"75","AO3","Non-Frozen","Storm","2022-15","5/19/2022 2:37","5/19/2022 3:45",307.5,0.1419,0.44,1.733,0.2538,0.72,0.48,0.28,0.27,0.02,0.02,1.21,1.23,22.4,975744,0.00378172963400236
"76","AO3","Non-Frozen","Storm","2022-16","5/20/2022 0:15","5/20/2022 15:00",23600,6.58,1.47,17.9,0.08212,2.4,1.86,0.92,0.66,0.45,0.47,1.01,1.68,22.4,975744,0.290240062967336
"77","AO3","Non-Frozen","Storm","2022-17","6/15/2022 22:57","6/16/2022 1:45",5535,2.665,0.53,2.183,0.2427,3.12,1.98,0.94,0.52,0.02,0.16,0.72,0.88,22.4,975744,0.0680711334120425
"78","AO3","Non-Frozen","Storm","2022-18","7/4/2022 18:36","7/5/2022 1:15",3934,1.542,0.57,5.183,0.11,2.16,1.92,0.8,0.45,0,0,0.32,0.36,22.4,975744,0.0483815426997245
"79","AO3","Non-Frozen","Non-storm","2022-19","7/28/2022 7:00","7/28/2022 16:00",6222,0.2875,0,NA,NA,NA,NA,NA,NA,0,0.08,0.7,1.07,22.4,975744,0.0765200708382527
"80","AO3","Non-Frozen","Storm","2022-20","8/1/2022 6:00","8/1/2022 6:30",32.8,0.036,0.22,0.2833,0.7765,1.32,0.78,0.44,0.22,0,0,0.08,0.93,22.4,975744,0.000403384494293585
"81","AO3","Non-Frozen","Storm","2022-21","8/3/2022 9:00","8/3/2022 11:00",1688,0.7924,0.38,4.283,0.08872,2.16,1.38,0.58,0.31,0.01,0.15,0.24,1.01,22.4,975744,0.0207595434868162
"82","AO3","Non-Frozen","Non-storm","2022-22","8/4/2022 3:15","8/4/2022 7:30",4891,0.6011,0,NA,NA,NA,NA,NA,NA,0.4,0.41,0.64,1.34,22.4,975744,0.060151023219205
"83","AO3","Non-Frozen","Storm","2022-23","8/5/2022 5:45","8/5/2022 10:45",2566,0.4026,0,NA,NA,NA,NA,NA,NA,0,0.38,0.64,1.34,22.4,975744,0.0315574576938213
"84","AO3","Non-Frozen","Storm","2022-24","8/7/2022 3:22","8/8/2022 12:30",33800,9.316,1.53,31.75,0.04819,2.04,1.44,1.04,0.86,0,0,0.64,1.09,22.4,975744,0.415682802046438
