"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",21,"Site",21,TRUE,TRUE,101.967611664681,,1.70347667961338,0.430714334720544,,0,TRUE
"Pre-growing season",21,"Full",21,TRUE,TRUE,107.813519473622,,1.69723831013558,0.434993884075588,,0,TRUE
"Pre-growing season",22,"Storm",21,FALSE,TRUE,60.1573090705434,,0.246881769617115,0.43164373415083,0.89103741071872,0.641322340168765,FALSE
"Pre-growing season",22,"Agricultural",21,FALSE,TRUE,58.9848252579285,,0.0742645043318216,0.541370500680156,0.992235514512762,1.08313678019631,FALSE
"Pre-growing season",22,"Site",21,FALSE,TRUE,62.5964250163714,,0.201999305626611,0.499646773814075,0.930909739548249,0.692098106940993,FALSE
"Pre-growing season",22,"Full",21,FALSE,TRUE,62.8270769315423,,0.0734604948102563,0.559053508766858,0.992675492609139,1.08119377977582,FALSE
"Pre-growing season",23,"Storm",21,FALSE,TRUE,50.4928850190061,,0.00736289841450507,0.0324299984691034,0.999925622224309,2.96116495744587,FALSE
"Pre-growing season",23,"Agricultural",21,FALSE,TRUE,-70.4138130380169,,2.0726155288955e-14,0.249919022486095,0.999999999999997,1.93326650084479,FALSE
"Pre-growing season",23,"Site",21,FALSE,TRUE,53.7334208900661,,0.00736317992957162,0.101983319635085,0.99992760689952,2.8238250615639,FALSE
"Pre-growing season",23,"Full",21,FALSE,TRUE,-66.1334018689199,,2.76154569576108e-14,0.322497752001782,0.999999999999996,1.88637328677942,FALSE
"Pre-growing season",24,"Storm",21,FALSE,FALSE,67.7801499555343,,0.197159347980105,0.235990577888952,0.965866137688489,2.06938246805534,FALSE
"Pre-growing season",24,"Agricultural",21,FALSE,FALSE,69.1051797397174,,0.175027592693763,0.40070189978481,0.973831288247714,1.67238681180442,FALSE
"Pre-growing season",24,"Site",21,FALSE,FALSE,67.8987690617918,,0.199265458085154,0.325877414126416,0.964576557594117,1.76625702770576,FALSE
"Pre-growing season",24,"Full",21,FALSE,FALSE,68.9573479039955,,0.176345523327944,0.494356689704602,0.973778131582701,1.40382348944427,FALSE
"Pre-growing season",25,"Storm",21,FALSE,TRUE,88.6569578334444,,0.380849562544354,0.121056008993194,0.937478582661757,4.57437536398028,FALSE
"Pre-growing season",25,"Agricultural",21,FALSE,TRUE,88.1214929812224,,0.312998925927952,0.287042631155786,0.954789684783515,3.52551281772077,FALSE
"Pre-growing season",25,"Site",21,FALSE,TRUE,88.3280534900541,,0.388799657036501,0.305600365822763,0.930621975016141,3.18431719064157,FALSE
"Pre-growing season",25,"Full",21,FALSE,TRUE,77.9830565887492,,0.359654871932228,0.699942068757428,0.93510114726961,0.968056073691949,FALSE
"Pre-growing season",26,"Storm",21,FALSE,FALSE,72.6512978923884,,0.224943468903449,0.453949390770213,0.96532058420766,2.03114278739026,FALSE
