"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",34,"Full",209,TRUE,TRUE,249.109146937557,0.786467661691542,,0.310976313768965,0.328842285229847,0.0875750794383923,FALSE
"Pre-growing season",35,"Storm",209,TRUE,TRUE,216.737382340419,0.775385953468145,,0.295548216240565,,0,TRUE
"Pre-growing season",35,"Agricultural",209,TRUE,TRUE,220.464392389775,0.781202435312024,,0.309611454893558,,0,TRUE
"Pre-growing season",35,"Site",209,TRUE,TRUE,221.638255045082,0.789791258969341,,0.317592519770092,,0,TRUE
"Pre-growing season",35,"Full",209,TRUE,TRUE,226.211926683674,0.791748206131768,,0.324904690458067,,0,TRUE
"Pre-growing season",36,"Storm",209,TRUE,TRUE,241.433376598406,0.71082974137931,,0.169445548646098,,0,TRUE
"Pre-growing season",36,"Agricultural",209,TRUE,TRUE,245.337579664724,0.718803879310345,,0.180471583307263,,0,TRUE
"Pre-growing season",36,"Site",209,TRUE,TRUE,247.395396090746,0.719127155172414,,0.18096007884444,,0,TRUE
"Pre-growing season",36,"Full",209,TRUE,TRUE,251.271428498058,0.726346982758621,,0.194730043469231,,0,TRUE
"Pre-growing season",37,"Storm",209,TRUE,TRUE,206.022753884204,0.811608514373491,,0.368690237430075,0.377914267712358,0.0487808057875603,FALSE
"Pre-growing season",37,"Agricultural",209,TRUE,TRUE,207.623974802166,0.818630678077683,,0.390194206158426,,0,TRUE
"Pre-growing season",37,"Site",209,TRUE,TRUE,209.477123084728,0.817204301075269,,0.399587936969368,,0,TRUE
"Pre-growing season",37,"Full",209,TRUE,TRUE,211.700579469249,0.828505595786702,,0.416410698532687,,0,TRUE
"Pre-growing season",38,"Storm",209,TRUE,TRUE,204.661645006579,0.861521252796421,,0.349948907737257,0.449821494026858,0.597201881747173,FALSE
"Pre-growing season",38,"Agricultural",209,TRUE,TRUE,207.217768784558,0.865659955257271,,0.383361235573265,0.475799674941526,0.580141334273978,FALSE
"Pre-growing season",38,"Site",209,TRUE,TRUE,205.792915610299,0.842505592841163,,0.418911440091113,0.445474186308143,0.157590377517453,FALSE
"Pre-growing season",38,"Full",209,TRUE,TRUE,209.087306637665,0.855592841163311,,0.440263708373658,0.475298024774046,0.219664279064016,FALSE
"Pre-growing season",39,"Storm",209,TRUE,TRUE,231.741596167569,0.783088235294118,,0.293215114270603,,0,TRUE
"Pre-growing season",39,"Agricultural",209,TRUE,TRUE,230.041986685251,0.798348106365834,,0.339326602237133,,0,TRUE
"Pre-growing season",39,"Site",209,TRUE,TRUE,230.956702509919,0.798751007252216,,0.347630407577108,,0,TRUE
"Pre-growing season",39,"Full",209,TRUE,TRUE,230.071749509297,0.818896051571313,,0.39527781945451,,0,TRUE
"Pre-growing season",40,"Storm",209,TRUE,TRUE,248.889517586592,0.782528263103803,,0.159231591388986,0.242127469608544,0.359844825129687,FALSE
"Pre-growing season",40,"Agricultural",209,TRUE,TRUE,254.511673807217,0.782014388489209,,0.162868596476683,0.241749592444504,0.342245876036377,FALSE
"Pre-growing season",40,"Site",209,TRUE,TRUE,253.946967248346,0.777903391572456,,0.180042709900418,0.238846323471738,0.254161728964998,FALSE
"Pre-growing season",40,"Full",209,TRUE,TRUE,259.268527958079,0.779445015416238,,0.185323003476749,0.240506062659646,0.239034150241465,FALSE
"Pre-growing season",41,"Storm",209,TRUE,TRUE,212.790312463618,0.853680253264741,,0.426517762479255,0.481801176075602,0.350975595303776,FALSE
"Pre-growing season",41,"Agricultural",209,TRUE,TRUE,216.502278307151,0.85199841709537,,0.43890287981792,0.485262780665124,0.296302569057711,FALSE
"Pre-growing season",41,"Site",209,TRUE,TRUE,214.826331801914,0.842204194697269,,0.458295874947797,0.479000612498031,0.130740760770675,FALSE
"Pre-growing season",41,"Full",209,TRUE,TRUE,218.852216380007,0.845765730114761,,0.468861738655666,0.487066439280789,0.116761836340167,FALSE
"Pre-growing season",42,"Storm",209,TRUE,TRUE,208.854694146854,0.89667754945266,,0.44800570547668,0.559878714776671,0.836240965101271,FALSE
"Pre-growing season",42,"Agricultural",209,TRUE,TRUE,208.953006672431,0.902246975225658,,0.486030894393348,0.596090569547423,0.896443090443978,FALSE
"Pre-growing season",42,"Site",209,TRUE,TRUE,201.721193613746,0.886594968311888,,0.538878627912474,0.55328989102598,0.106134055019108,FALSE
"Pre-growing season",42,"Full",209,TRUE,TRUE,203.981285572114,0.885634722488957,,0.561225958600915,0.566984819261295,0.0437534133114258,FALSE
"Pre-growing season",43,"Storm",209,TRUE,TRUE,220.618790537747,0.799327122153209,,0.346817227728867,,0,TRUE
"Pre-growing season",43,"Agricultural",209,TRUE,TRUE,221.379391937606,0.805745341614907,,0.385369093188159,,0,TRUE
"Pre-growing season",43,"Site",209,TRUE,TRUE,227.038396307911,0.811180124223603,,0.358526077400556,,0,TRUE
"Pre-growing season",43,"Full",209,TRUE,TRUE,227.464618482768,0.808281573498965,,0.396513396024956,,0,TRUE
"Pre-growing season",44,"Storm",209,TRUE,TRUE,229.390905632807,0.795932203389831,,0.196461592345492,0.286932314096012,0.417403214874653,FALSE
"Pre-growing season",44,"Agricultural",209,TRUE,TRUE,232.423426846603,0.808361581920904,,0.213486734200176,0.304482868987696,0.4304211510812,FALSE
"Pre-growing season",44,"Site",209,TRUE,TRUE,236.555223874099,0.794237288135593,,0.207870471427562,0.300491408131837,0.435606755540665,FALSE
"Pre-growing season",44,"Full",209,TRUE,TRUE,239.49549052736,0.809717514124294,,0.223974695992672,0.32067452397929,0.468302299643776,FALSE
"Pre-growing season",45,"Storm",209,TRUE,TRUE,232.865642182093,0.825273631840796,,0.297943097232705,0.359424855097051,0.315758233223676,FALSE
"Pre-growing season",45,"Agricultural",209,TRUE,TRUE,237.151089541032,0.83910447761194,,0.310089718399222,0.398316410401929,0.482403355482986,FALSE
"Pre-growing season",45,"Site",209,TRUE,TRUE,237.485447367728,0.795721393034826,,0.327732195939166,0.329864908481416,0.0104700427121112,FALSE
"Pre-growing season",45,"Full",209,TRUE,TRUE,241.071091928064,0.82089552238806,,0.343213344187769,0.378872254917063,0.188871154153588,FALSE
"Pre-growing season",46,"Storm",209,TRUE,TRUE,218.533581192213,0.810511301294711,,0.30328532584969,0.347789775397602,0.22448861556047,FALSE
"Pre-growing season",46,"Agricultural",209,TRUE,TRUE,218.719306723136,0.845841562431424,,0.357638672573157,0.439387465332024,0.479730173041589,FALSE
"Pre-growing season",46,"Site",209,TRUE,TRUE,222.786849378976,0.801953039280228,,0.341027917322288,0.359141000762894,0.0929840356227708,FALSE
"Pre-growing season",46,"Full",209,TRUE,TRUE,222.043200370312,0.842879087118718,,0.408093559217835,0.462776084034447,0.334866506344763,FALSE
"Pre-growing season",47,"Storm",209,TRUE,TRUE,219.506174256249,0.827047413793103,,0.285547434512394,0.383512345100528,0.522786847397422,FALSE
"Pre-growing season",47,"Agricultural",209,TRUE,TRUE,225.335195887516,0.82510775862069,,0.290088288557208,0.377582453051987,0.462461678767248,FALSE
"Pre-growing season",47,"Site",209,TRUE,TRUE,213.74259585889,0.814978448275862,,0.392022305243508,,0,TRUE
"Pre-growing season",47,"Full",209,TRUE,TRUE,219.713984073333,0.814762931034483,,0.392038939762901,,0,TRUE
"Pre-growing season",48,"Storm",209,TRUE,TRUE,229.402156778025,0.850201651622815,,0.328847584703429,0.431230685945038,0.592203014263247,FALSE
"Pre-growing season",48,"Agricultural",209,TRUE,TRUE,231.504726085481,0.848377184559247,,0.365926937506876,0.43515973569929,0.403241041716179,FALSE
"Pre-growing season",48,"Site",209,TRUE,TRUE,231.923309532297,0.840407144228923,,0.381340028567512,0.424909875413928,0.249246239158125,FALSE
"Pre-growing season",48,"Full",209,TRUE,TRUE,232.908293003792,0.828596120606875,,0.413025530425412,0.423902849004172,0.0621161616759739,FALSE
"Pre-growing season",49,"Storm",209,TRUE,TRUE,216.946999665317,0.853623188405797,,0.357670195816977,0.45880824643307,0.61481138179411,FALSE
"Pre-growing season",49,"Agricultural",209,TRUE,TRUE,215.22119071451,0.876811594202899,,0.41428931081021,0.537368867221302,0.875244837316303,FALSE
