"Season","Rep","Model","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",26,"Storm",2246,TRUE,TRUE,TRUE,1985.99225932541,0.749114398301278,,0.0932020975471567,0.228493066554027,0.57690919992722,FALSE
"Pre-growing season",26,"Agricultural",2246,TRUE,TRUE,TRUE,1989.62733573196,0.749286031483523,,0.0962904277989257,0.231860141355584,0.580631867367899,FALSE
"Pre-growing season",26,"Site",2246,TRUE,TRUE,TRUE,1984.99332602505,0.748015690718282,,0.137544214276404,0.219758719951542,0.346655437573687,FALSE
"Pre-growing season",26,"Full",2246,TRUE,TRUE,TRUE,1988.39894107697,0.748529314181878,,0.141020836020394,0.221691154362115,0.340988941774234,FALSE
"Pre-growing season",27,"Storm",2246,TRUE,TRUE,TRUE,1935.6226083914,0.749082402795233,,0.107182074199308,0.248274111625656,0.617477999661633,FALSE
"Pre-growing season",27,"Agricultural",2246,TRUE,TRUE,TRUE,1937.01112876243,0.750980766320333,,0.11461475662536,0.25167586819443,0.602563734290009,FALSE
"Pre-growing season",27,"Site",2246,TRUE,TRUE,TRUE,1929.77768205039,0.748712600264521,,0.167203232085596,0.242487794894964,0.326960123515706,FALSE
"Pre-growing season",27,"Full",2246,TRUE,TRUE,TRUE,1930.62332674829,0.749817401775315,,0.169986883631397,0.239527557324421,0.300838838516676,FALSE
"Pre-growing season",28,"Storm",2246,TRUE,TRUE,TRUE,2040.57684804499,0.740957214365168,,0.10869745512228,0.203763259238342,0.39279016347136,FALSE
"Pre-growing season",28,"Agricultural",2246,TRUE,TRUE,TRUE,2039.60705036302,0.743809465874781,,0.116612064581699,0.220476468592082,0.438344936633234,FALSE
"Pre-growing season",28,"Site",2246,TRUE,TRUE,TRUE,2033.74075676151,0.740139093039886,,0.153594716696053,0.19514671884087,0.169845375483399,FALSE
"Pre-growing season",28,"Full",2246,TRUE,TRUE,TRUE,2034.24814377904,0.742672289647227,,0.156464498357781,0.205484373959931,0.202977665102773,FALSE
"Pre-growing season",29,"Storm",2246,TRUE,TRUE,TRUE,2019.19368108161,0.744391401839673,,0.103943951211798,0.235951361667641,0.568402260382719,FALSE
"Pre-growing season",29,"Agricultural",2246,TRUE,TRUE,TRUE,2012.16382818136,0.749281045260658,,0.126859240466424,0.255774839633835,0.569875011251403,FALSE
"Pre-growing season",29,"Site",2246,TRUE,TRUE,TRUE,2014.11901471802,0.74384803857128,,0.159311115785543,0.233098220812818,0.316533162518183,FALSE
"Pre-growing season",29,"Full",2246,TRUE,TRUE,TRUE,2007.64235128366,0.748564907496786,,0.171398272046514,0.24342004692861,0.313175284588221,FALSE
"Pre-growing season",30,"Storm",2246,TRUE,TRUE,TRUE,1871.07502980989,0.771159083415089,,0.111555396710495,0.265905452882819,0.691724701170558,FALSE
"Pre-growing season",30,"Agricultural",2246,TRUE,TRUE,TRUE,1876.12948968208,0.771836874264709,,0.113488568335043,0.268021878392965,0.694548371525151,FALSE
"Pre-growing season",30,"Site",2246,TRUE,TRUE,TRUE,1865.08437774086,0.770220081877677,,0.184181864578563,0.260998733369688,0.341971496095821,FALSE
"Pre-growing season",30,"Full",2246,TRUE,TRUE,TRUE,1870.5517072069,0.770661765404307,,0.183436706781403,0.25984212679628,0.339608299322167,FALSE
"Pre-growing season",31,"Storm",2246,TRUE,TRUE,TRUE,1938.8062892348,0.747393428785423,,0.115375823031345,0.214163667181072,0.413570824982023,FALSE
"Pre-growing season",31,"Agricultural",2246,TRUE,TRUE,TRUE,1942.87404738259,0.74889535275399,,0.118794754444183,0.223619920817522,0.444190910751098,FALSE
"Pre-growing season",31,"Site",2246,TRUE,TRUE,TRUE,1931.02126913042,0.745961515344855,,0.166348054501236,0.207430671425348,0.170529425495883,FALSE
"Pre-growing season",31,"Full",2246,TRUE,TRUE,TRUE,1935.45020660568,0.74661670821065,,0.166890364992662,0.208800224677323,0.174264346584308,FALSE
"Pre-growing season",32,"Storm",2246,TRUE,TRUE,TRUE,2062.63686499208,0.731846077703539,,0.102532417058518,0.196548298012906,0.384963837961008,FALSE
"Pre-growing season",32,"Agricultural",2246,TRUE,TRUE,TRUE,2063.79695425165,0.734085003711953,,0.111771687145557,0.209754572557092,0.407912227225537,FALSE
"Pre-growing season",32,"Site",2246,TRUE,TRUE,TRUE,2054.76541928404,0.729747587230883,,0.151660496918505,0.192067257323896,0.164534628220764,FALSE
"Pre-growing season",32,"Full",2246,TRUE,TRUE,TRUE,2055.19403095367,0.731494060876021,,0.157278317318318,0.195723605681395,0.157259282965285,FALSE
